Main-related Command Support List;;
"UP";sets XM Category Wrap-Around Up;No
"DOWN";sets XM Category Wrap-Around Down;No
"QSTN";gets XM Category;No
"SCN" - SIRIUS Channel Name Info (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Channel Name;No
"QSTN";gets SIRIUS Channel Name;No
"SAT" - SIRIUS Artist Name Info (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Artist Name;No
"QSTN";gets SIRIUS Artist Name;No
"STI" - SIRIUS Title Info (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Title;No
"QSTN";gets SIRIUS Title;No
"SCH" - SIRIUS Channel Number Command (SIRIUS Model Only);;
"000"-"255";SIRIUS Channel Number  “000 - 255” ;No
"UP";sets SIRIUS Channel Wrap-Around Up;No
"DOWN";sets SIRIUS Channel Wrap-Around Down;No
"QSTN";gets SIRIUS Channel Number;No
"SCT" - SIRIUS Category Command (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Category Info;No
"UP";sets SIRIUS Category Wrap-Around Up;No
"DOWN";sets SIRIUS Category Wrap-Around Down;No
"QSTN";gets SIRIUS Category;No
"SLK" - SIRIUS Parental Lock Command (SIRIUS Model Only);;
"nnnn";Lock Password (4Digits);No
"INPUT";displays "Please input the Lock password";No
"WRONG";displays "The Lock password is wrong";No
"HAT" - HD Radio Artist Name Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Artist Name (variable-length, 64 digits max);No
"QSTN";gets HD Radio Artist Name;No
"HCN" - HD Radio Channel Name Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Channel Name (Station Name) (7 digits);No
"QSTN";gets HD Radio Channel Name;No
"HTI" - HD Radio Title Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Title (variable-length, 64 digits max);No
"QSTN";gets HD Radio Title;No
"HDS" - HD Radio Detail Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Title;No
"QSTN";gets HD Radio Title;No
"HPR" - HD Radio Channel Program Command (HD Radio Model Only);;
"01"-"08";sets directly HD Radio Channel Program;No
"QSTN";gets HD Radio Channel Program;No
"HBL" - HD Radio Blend Mode Command (HD Radio Model Only);;
"00";sets HD Radio Blend Mode "Auto";No
"01";sets HD Radio Blend Mode "Analog";No
"QSTN";gets the HD Radio Blend Mode Status;No
"HTS" - HD Radio Tuner Status (HD Radio Model Only);;
"mmnnoo";'HD Radio Tuner Status (3 bytes)
mm -> "00" not HD, "01" HD
nn -> current Program "01"-"08"
oo -> receivable Program (8 bits are represented in hexadecimal notation. Each bit shows receivable or not.) ';No
"QSTN";gets the HD Radio Tuner Status;No
The TUNER/XM/SIRIUS/HD Radio function is shared by the MAIN and ZONE side.;;
*1:RDS information Command in RBDS Model, is only available Display RT information.;;
;;
"NTC" - Net-Tune Operation Command (Net-Tune Model Only before TX-NR1000);;
"NTC" - Network/USB Operation Command (Network Model Only after TX-NR905);;
"PLAY";PLAY KEY;Yes
"STOP";STOP KEY;Yes
"PAUSE";PAUSE KEY;Yes
"TRUP";TRACK UP KEY;Yes
"TRDN";TRACK DOWN KEY;Yes
"FF";FF KEY (CONTINUOUS*);Yes
"REW";REW KEY (CONTINUOUS*);Yes
"REPEAT";REPEAT KEY;Yes
"RANDOM";RANDOM KEY;Yes
"DISPLAY";DISPLAY KEY;Yes
"ALBUM";ALBUM KEY;No
"ARTIST";ARTIST KEY;No
"GENRE";GENRE KEY;No
"PLAYLIST";PLAYLIST KEY;No
"RIGHT";RIGHT KEY;Yes
"LEFT";LEFT KEY;Yes
"UP";UP KEY;Yes
"DOWN";DOWN KEY;Yes
"SELECT";SELECT KEY;Yes
"0";0 KEY;Yes
"1";1 KEY;Yes
"2";2 KEY;Yes
"3";3 KEY;Yes
"4";4 KEY;Yes
"5";5 KEY;Yes
"6";6 KEY;Yes
"7";7 KEY;Yes
"8";8 KEY;Yes
"9";9 KEY;Yes
"DELETE";DELETE KEY;Yes
"CAPS";CAPS KEY;Yes
"LOCATION";LOCATION KEY;No
"LANGUAGE";LANGUAGE KEY;No
"SETUP";SETUP KEY;No
"RETURN";RETURN KEY;Yes
"CHUP";CH UP(for iRadio);Yes
"CHDN";CH DOWN(for iRadio);Yes
"MENU";MENU;Yes
"TOP";TOP MENU;Yes
"MODE";MODE(for iPod) STD<->EXT;Yes
"LIST";LIST <-> PLAYBACK;Yes
* FFW/REW Net-tune commands must be sent continuously, with no more than 100ms delay between codes;;
"NAT" -NET/USB Artist Name Info;;
"nnnnnnnnnn";NET/USB Artist Name (variable-length, 64 ASCII letters max);Yes
"nnnnnnnnnn";NET/USB Artist Name (variable-length, 64 Unicode letters [UTF-8 encoded] max , for Network Control only);Yes
"QSTN";gets iPod Artist Name;Yes
"NAL" - NET/USB Album Name Info;;
"nnnnnnn";NET/USB Album Name (variable-length, 64 ASCII letters max);Yes
"nnnnnnn";NET/USB Album Name (variable-length, 64 Unicode letters [UTF-8 encoded] max , for Network Control only);Yes
"QSTN";gets iPod Album Name;Yes
"NTI" - NET/USB Title Name;;
"nnnnnnnnnn";NET/USB Title Name (variable-length, 64 ASCII letters max);Yes
"nnnnnnnnnn";NET/USB Title Name (variable-length, 64 Unicode letters [UTF-8 encoded] max , for Network Control only);Yes
"QSTN";gets HD Radio Title;Yes
"NTM" - NET/USB Time Info;;
"mm:ss/mm:ss";NET/USB Time Info (Elapsed time/Track Time Max 99:59);Yes
"QSTN";gets iPod Time Info;Yes
"NTR" - NET/USB Track Info;;
"cccc/tttt";NET/USB Track Info (Current Track/Toral Track Max 9999);Yes
"QSTN";gets iPod Time Info;Yes
"NST" - NET/USB Play Status;;
"prs";'NET/USB Play Status (3 letters)
p -> Play Status: "S": STOP, "P": Play, "p": Pause, "F": FF, "R": FR
r -> Repeat Status: "-": Off, "R": All, "F": Folder, "1": Repeat 1,
s -> Shuffle Status: "-": Off, "S": All , "A": Album, "F": Folder';Yes
"QSTN";gets the Net/USB Status;Yes
"NPR" - Internet Radio Preset Command;;
"01"-"28";sets Preset No. 1 - 40 ( In hexadecimal representation);Yes
"SET";preset memory current station;Yes
"NLS" - NET/USB List Info;;
"tlpnnnnnnnnnn";'NET/USB List Info
t ->Information Type (A : ASCII letter, C : Cursor Info)
when t = A,
  l ->Line Info (0-9 : 1st to 10th Line)
  nnnnnnnnn:Listed data (variable-length, 64 ASCII letters max)
  when AVR is not displayed NET/USB List(Ketboard,Menu,Popup…), "nnnnnnnnn" is "See TV".
  p ->Property (- : no)
when t = C,
  l ->Cursor Position (0-9 : 1st to 10th Line, - : No Cursor)
  p ->Update Type (P : Page Infomation Update ( Page Clear or Disable List Info) , C : Cursor Position Update)';No
"tlpnnnnnnnnnn";'NET/USB List Info
t ->Information Type (A : ASCII letter, C : Cursor Info, U : Unicode letter)
when t = A,
  l ->Line Info (0-9 : 1st to 10th Line)
  nnnnnnnnn:Listed data (variable-length, 64 ASCII letters max)
    when AVR is not displayed NET/USB List(Ketboard,Menu,Popup…), "nnnnnnnnn" is "See TV".
  p ->Property (- : no)
when t = C,
  l ->Cursor Position (0-9 : 1st to 10th Line, - : No Cursor)
  p ->Update Type (P : Page Infomation Update ( Page Clear or Disable List Info) , C : Cursor Position Update)
when t = U, (for Network Control Only)
  l ->Line Info (0-9 : 1st to 10th Line)
  nnnnnnnnn:Listed data (variable-length, 64 Unicode letters [UTF-8 encoded] max)
    when AVR is not displayed NET/USB List(Ketboard,Menu,Popup…), "nnnnnnnnn" is "See TV".
  p ->Property (- : no)';Yes
"ti";'select the listed item (from Network Control Only)
 t -> Index Type (L : Line, I : Index)
when t = L,
  i -> Line number (0-9 : 1st to 10th Line [1 digit] )
when t = I,
  iiiii -> Index number (00001-99999 : 1st to 99999th Item [5 digits] )';Yes
"NJA" - NET/USB Jacket Art (When Jacket Art is available and Output for Network Control Only);;
"tpxxxxxxxxxxxx";'NET/USB Jacket Art/Album Art Data
t-> Image type 0:BMP,1:JPEG
p-> Packet flag 0:Start, 1:Next, 2:End
xxxxxxxxxxxxxx -> Jacket/Album Art Data (valiable length, 1024 ASCII HEX letters max)';Yes
"NSV" - NET Service(for Network Control Only);;
"ssiaaaa…aaaabbbb…bbbb";'select Network Service directly
ss -> Network Serveice
 00:Media Server (DLNA)
 01:Favorite
 02:vTuner
 03:SIRIUS
 04:Pandora
 05:Rhapsody
 06:Last.fm
 07:Napster
 08:Slacker
 09:Mediafly
 0A:Spotify
 0C:Radiko
 0D:e-onkyo
i-> Acount Info
 0: No
 1: Yes
"aaaa...aaaa": User Name ( 128 Unicode letters [UTF-8 encoded] max )
"bbbb...bbbb": Password ( 128 Unicode letters [UTF-8 encoded] max )';Yes
;;
"NKY" - NET Keyboard(for Network Control Only);;
"ll";'waiting Keyboard Input
ll -> category
 00: Off ( Exit Keyboard Input )
 01: User Name
 02: Password
 03: Artist Name
 04: Album Name
 05: Song Name
 06: Station Name
 07: Tag Name
 08: Artist or Song
 09: Episode Name
 0A: Pin Code (some digit Number [0-9])
 0B: User Name (available ISO 8859-1 character set)
 0C: Password (available ISO 8859-1 character set)';Yes
"nnnnnnnnn";'set Keyboard Input letter
"nnnnnnnn" is variable-length, 128 Unicode letters [UTF-8 encoded] max';Yes
"NPU" - NET Popup Message(for Network Control Only);;
"xaaa…aaaybbb…bbb";'x -> Popup Display Type
 ''T'': Popup text is top
 ''B'': Popup text is bottom
 ''L'': Popup text is list format

aaa...aaa -> Popup Title, Massage
 when x = ''T'' or ''B''
    Top Title [0x00] Popup Title [0x00] Popup Message [0x00]
    (valiable-length Unicode letter [UTF-8 encoded] )

 when x = ''L''
    Top Title [0x00] Item Title 1 [0x00] Item Parameter 1 [0x00] ... [0x00] Item Title 6 [0x00] Item Parameter 6 [0x00]
    (valiable-length Unicode letter [UTF-8 encoded] )

y -> Cursor Position on button
 ''0'' : Button is not Displayed
 ''1'' : Cursor is on the button 1
 ''2'' : Cursor is on the button 2

bbb...bbb -> Text of Button
    Text of Button 1 [0x00] Text of Button 2 [0x00]
    (valiable-length Unicode letter [UTF-8 encoded] )';Yes
"NMD" - iPod Mode Change (with USB Connection Only);;
"STD";Standerd Mode;Yes
"EXT";Extend Mode(If available);Yes
"VDC";Video Contents in Extended Mode;Yes
"QSTN";gets iPod Mode Status;Yes
"CCD" - CD Player Operation Command ;;
"POWER";POWER ON/OFF;No
"TRACK";TRACK+;No
"PLAY";PLAY;No
"STOP";STOP;No
"PAUSE";PAUSE;No
"SKIP.F";>>I;No
"SKIP.R";I<<;No
"MEMORY";MEMORY;No
"CLEAR";CLEAR;No
"REPEAT";REPEAT;No
"RANDOM";RANDOM;No
"DISP";DISPLAY;No
"D.MODE";D.MODE;No
"FF";FF >>;No
"REW";REW <<;No
"OP/CL";OPEN/CLOSE;No
"1";1;No
"2";2;No
"3";3;No
"4";4;No
"5";5;No
"6";6;No
"7";7;No
"8";8;No
"9";9;No
"0";0;No
"10";10;No
"+10";+10;No
"D.SKIP";DISC +;No
"DISC.F";DISC +;No
"DISC.R";DISC -;No
"DISC1";DISC1;No
"DISC2";DISC2;No
"DISC3";DISC3;No
"DISC4";DISC4;No
"DISC5";DISC5;No
"DISC6";DISC6;No
"STBY";STANDBY;No
"PON";POWER ON;No
"CT1" - TAPE1(A) Operation Command ;;
"PLAY.F";PLAY >;No
"PLAY.R";PLAY <;No
"STOP";STOP;No
"RC/PAU";REC/PAUSE;No
"FF";FF >>;No
"REW";REW <<;No
"CT2" - TAPE2(B) Operation Command ;;
"PLAY.F";PLAY >;No
"PLAY.R";PLAY <;No
"STOP";STOP;No
"RC/PAU";REC/PAUSE;No
"FF";FF >>;No
"REW";REW <<;No
"OP/CL";OPEN/CLOSE;No
"SKIP.F";>>I;No
"SKIP.R";I<<;No
“REC”;REC;No
"CEQ" - Graphics Equalizer Operation Command ;;
"POWER";POWER ON/OFF;No
"PRESET";PRESET;No
"CDT" - DAT Recorder Operation Command ;;
"PLAY";PLAY;No
"RC/PAU";REC/PAUSE;No
"STOP";STOP;No
"SKIP.F";>>I;No
"SKIP.R";I<<;No
"FF";FF >>;No
"REW";REW <<;No
"CDV" - DVD Player Operation Command (via RIHD only after TX-NR509);;
"POWER";POWER ON/OFF;Yes
"PWRON";POWER ON;Yes
"PWROFF";POWER OFF;Yes
"PLAY";PLAY;Yes
"STOP";STOP;Yes
"SKIP.F";>>I;Yes
"SKIP.R";I<<;Yes
"FF";FF >>;Yes
"REW";REW <<;Yes
"PAUSE";PAUSE;Yes
"LASTPLAY";LAST PLAY;Yes
"SUBTON/OFF";SUBTITLE ON/OFF;Yes
"SUBTITLE";SUBTITLE;Yes
"SETUP";SETUP;Yes
"TOPMENU";TOPMENU;Yes
"MENU";MENU;Yes
"UP";UP;Yes
"DOWN";DOWN;Yes
"LEFT";LEFT;Yes
"RIGHT";RIGHT;Yes
"ENTER";ENTER;Yes
"RETURN";RETURN;Yes
"DISC.F";DISC +;Yes
"DISC.R";DISC -;Yes
"AUDIO";AUDIO;Yes
"RANDOM";RANDOM;Yes
"OP/CL";OPEN/CLOSE;Yes
"ANGLE";ANGLE;Yes
"1";1;Yes
"2";2;Yes
"3";3;Yes
"4";4;Yes
"5";5;Yes
"6";6;Yes
"7";7;Yes
"8";8;Yes
"9";9;Yes
"10";10;Yes
"0";0;Yes
"SEARCH";SEARCH;Yes
"DISP";DISPLAY;Yes
"REPEAT";REPEAT;Yes
"MEMORY";MEMORY;Yes
"CLEAR";CLEAR;Yes
"ABR";A-B REPEAT;Yes
"STEP.F";STEP ;Yes
"STEP.R";STEP BACK;Yes
"SLOW.F";SLOW;Yes
"SLOW.R";SLOW BACK;Yes
"ZOOMTG";ZOOM;Yes
"ZOOMUP";ZOOM UP;Yes
"ZOOMDN";ZOOM DOWN;Yes
"PROGRE";PROGRESSIVE;Yes
"VDOFF";VIDEO ON/OFF;Yes
"CONMEM";CONDITION MEMORY;Yes
"FUNMEM";FUNCTION MEMORY;Yes
"DISC1";DISC1;Yes
"DISC2";DISC2;Yes
"DISC3";DISC3;Yes
"DISC4";DISC4;Yes
"DISC5";DISC5;Yes
"DISC6";DISC6;Yes
"FOLDUP";FOLDER UP;Yes
"FOLDDN";FOLDER DOWN;Yes
"P.MODE";PLAY MODE;Yes
"ASCTG";ASPECT(Toggle);Yes
"CDPCD";CD CHAIN REPEAT;Yes
"MSPUP";MULTI SPEED UP;Yes
"MSPDN";MULTI SPEED DOWN;Yes
"PCT";PICTURE CONTROL;Yes
"RSCTG";RESOLUTION(Toggle);Yes
"INIT";Return to Factory Settings;Yes
"CMD" - MD Recorder Operation Command ;;
"POWER";POWER ON/OFF;No
"PLAY";PLAY;No
"STOP";STOP;No
"FF";FF >>;No
"REW";REW <<;No
"P.MODE";PLAY MODE;No
"SKIP.F";>>I;No
"SKIP.R";I<<;No
"PAUSE";PAUSE;No
"REC";REC;No
"MEMORY";MEMORY;No
"DISP";DISPLAY;No
"SCROLL";SCROLL;No
"M.SCAN";MUSIC SCAN;No
"CLEAR";CLEAR;No
"RANDOM";RANDOM;No
"REPEAT";REPEAT;No
"ENTER";ENTER;No
"EJECT";EJECT;No
"1";1;No
"2";2;No
"3";3;No
"4";4;No
"5";5;No
"6";6;No
"7";7;No
"8";8;No
"9";9;No
"10/0";10/0;No
"nn/nnn";--/---;No
"NAME";NAME;No
"GROUP";GROUP;No
"STBY";STANDBY;No
"CCR" - CD-R Recorder Operation Command ;;
"POWER";POWER ON/OFF;No
"P.MODE";PLAY MODE;No
"PLAY";PLAY;No
"STOP";STOP;No
"SKIP.F";>>I;No
"SKIP.R";I<<;No
"PAUSE";PAUSE;No
"REC";REC;No
"CLEAR";CLEAR;No
"REPEAT";REPEAT;No
"1";1;No
"2";2;No
"3";3;No
"4";4;No
"5";5;No
"6";6;No
"7";7;No
"8";8;No
"9";9;No
"10/0";10/0;No
"nn/nnn";--/---;No
"SCROLL";SCROLL;No
"OP/CL";OPEN/CLOSE;No
"DISP";DISPLAY;No
"RANDOM";RANDOM;No
"MEMORY";MEMORY;No
"FF";FF;No
"REW";REW;No
"STBY";STANDBY;No
"CPT" - Universal PORT Operation Command ;;
"SETUP";SETUP;Yes
"UP";UP/Tuning Up;Yes
"DOWN";DOWN/Tuning Down;Yes
"LEFT";LEFT/Multicast Down;Yes
"RIGHT";RIGHT/Multicast Up;Yes
"ENTER";ENTER;Yes
"RETURN";RETURN;Yes
"DISP";DISPLAY;Yes
"PLAY";PLAY/BAND;Yes
"STOP";STOP;Yes
"PAUSE";PAUSE;Yes
"SKIP.F";>>I;Yes
"SKIP.R";I<<;Yes
"FF";FF >>;Yes
"REW";REW <<;Yes
"REPEAT";REPEAT;Yes
"SHUFFLE";SHUFFLE;Yes
"PRSUP";PRESET UP;Yes
"PRSDN";PRESET DOWN;Yes
"0";0;Yes
"1";1;Yes
"2";2;Yes
"3";3;Yes
"4";4;Yes
"5";5;Yes
"6";6;Yes
"7";7;Yes
"8";8;Yes
"9";9;Yes
"10";10/+10/Direct Tuning;Yes
"MODE";MODE;Yes
;;
"IAT" - iPod Artist Name Info (Universal Port Dock Only);;
"nnnnnnnnnn";iPod Artist Name (variable-length, 64 letters max ASCII letter only);Yes
"QSTN";gets iPod Artist Name;Yes
"IAL" - iPod Album Name Info (Universal Port Dock Only);;
"nnnnnnn";iPod Album Name (variable-length, 64 letters max ASCII letter only);Yes
"QSTN";gets iPod Album Name;Yes
"ITI" - iPod Title Name (Universal Port Dock Only);;
"nnnnnnnnnn";iPod Title Name (variable-length, 64 letters max ASCII letter only);Yes
"QSTN";gets iPod Title Name;Yes
"ITM" - iPod Time Info (Universal Port Dock Only);;
"mm:ss/mm:ss";iPod Time Info (Elapsed time/Track Time Max 99:59);Yes
"QSTN";gets iPod Time Info;Yes
"ITR" - iPod Track Info (Universal Port Dock Only);;
"cccc/tttt";iPod Track Info (Current Track/Toral Track Max 9999);Yes
"QSTN";gets iPod Time Info;Yes
"IST" - iPod Play Status (Universal Port Dock Only);;
"prs";'iPod Play Status (3 letters)
p -> Play Status "S" STOP, "P" Play, "p" Pause, "F" FF, "R" FR
r -> Repeat Status "-" no Repeat, "R" All Repeat, "1" Repeat 1,
s -> Shuffle Status "-" no Shuffle, "S" Shuffle, "A" Album Shuffle';Yes
"QSTN";gets the iPod Play Status;Yes
"ILS" - iPod List Info (Universal Port Dock Extend Mode Only);;
"tlpnnnnnnnnnn";'iPod List Info
t ->Information Type (A : ASCII letter, C : Cursor Info)
when t = A,
  l ->Line Info (0-9 : 1st to 10th Line)
  nnnnnnnnn:Listed data (variable-length, 64 letters max ASCII letter only)
  p ->Property (- : no)
when t = C,
  l ->Cursor Position (0-9 : 1st to 10th Line, - : No Cursor)
  p ->Update Type (P : Page Infomation Update ( Page Clear or Disable List Info) , C : Cursor Position Update)';Yes
"IMD" - iPod Mode Change (Universal Port Dock Only);;
"STD";Standerd Mode;Yes
"EXT";Extend Mode(If available);Yes
"VDC";Video Contents in Extended Mode;Yes
"QSTN";gets iPod Mode Status;Yes
;;
;;
"UTN" - Tuning Command (Universal Port Dock Only);;
"nnnnn";sets Directly Tuning Frequency (FM nnn.nn MHz / AM nnnnn kHz);Yes
"UP";sets Tuning Frequency Wrap-Around Up;Yes
"DOWN";sets Tuning Frequency Wrap-Around Down;Yes
"QSTN";gets The Tuning Frequency;Yes
"UPR" - Preset Command (Universal Port Dock Only);;
"01"-"28";sets Preset No. 1 - 40 ( In hexadecimal representation);Yes
"UP";sets Preset No. Wrap-Around Up;Yes
"DOWN";sets Preset No. Wrap-Around Down;Yes
"QSTN";gets The Preset No.;Yes
"UPM" - Preset Memory Command (Universal Port Dock Only);;
"01"-"28";Memory Preset No. 1 - 40 ( In hexadecimal representation);Yes
"UHP" - HD Radio Channel Program Command (Universal Port Dock Only);;
"01"-"08";sets directly HD Radio Channel Program;Yes
"QSTN";gets HD Radio Channel Program;Yes
"UHB" - HD Radio Blend Mode Command (Universal Port Dock Only);;
"00";sets HD Radio Blend Mode "Auto";Yes
"01";sets HD Radio Blend Mode "Analog";Yes
"QSTN";gets the HD Radio Blend Mode Status;Yes
"UHA" - HD Radio Artist Name Info (Universal Port Dock Only);;
"nnnnnnnnnn";HD Radio Artist Name (variable-length, 64 letters max);Yes
"QSTN";gets HD Radio Artist Name;Yes
"UHC" - HD Radio Channel Name Info (Universal Port Dock Only);;
"nnnnnnn";HD Radio Channel Name (Station Name) (7lettters);Yes
"QSTN";gets HD Radio Channel Name;Yes
"UHT" - HD Radio Title Info (Universal Port Dock Only);;
"nnnnnnnnnn";HD Radio Title (variable-length, 64 letters max);Yes
"QSTN";gets HD Radio Title;Yes
"UHD" - HD Radio Detail Info (Universal Port Dock Only);;
"nnnnnnnnnn";HD Radio Title;Yes
"QSTN";gets HD Radio Title;Yes
"UHS" - HD Radio Tuner Status (Universal Port Dock Only);;
"mmnnoo";'HD Radio Tuner Status (3 bytes)
mm -> "00" not HD, "01" HD
nn -> current Program "01"-"08"
oo -> receivable Program (8 bits are represented in hexadecimal notation. Each bit shows receivable or not.) ';Yes
"QSTN";gets the HD Radio Tuner Status;Yes
;;
;;
"UPR" - DAB Preset Command (Universal Port Dock Only);;
"01"-"28";sets Preset No. 1 - 40 ( In hexadecimal representation);Yes
"UP";sets Preset No. Wrap-Around Up;Yes
"DOWN";sets Preset No. Wrap-Around Down;Yes
"QSTN";gets The Preset No.;Yes
"UPM" - Preset Memory Command (Universal Port Dock Only);;
"01"-"28";Memory Preset No. 1 - 40 ( In hexadecimal representation);Yes
"UDS" - DAB Sation Name (Universal Port Dock Only);;
"nnnnnnnnn";Sation Name (9 letters);Yes
"QSTN";gets The Tuning Frequency;Yes
"UDD" - DAB Display Info (Universal Port Dock Only);;
"PT:nnnnnnnn";DAB Program Type (8 letters);Yes
"AT:mmmkbps/nnnnnn";DAB Bitrate & Audio Type (m:Bitrate xxxkbps,n:Audio Type Stereo/Mono);Yes
"MN:nnnnnnnnn";DAB Multiplex Name (9 letters);Yes
"MF:mmm/nnnn.nnMHz";DAB Multiplex Band ID(mmm) & Freq(nnnn.nnMHz) Info;Yes
"PT";gets & display DAB Program Info;Yes
"AT";gets & display DAB Bitrate & Audio Type;Yes
"MN";gets & display DAB Multicast Name;Yes
"MF";gets & display DAB Multicast Band & Freq Info;Yes
"UP";gets & dispaly DAB Infomation Wrap-Around Up;Yes
